

=======================================================
TABLA RESUMEN DE RESULTADOS
=======================================================

Query ID   | Precision  | Recall     | AP         | Relevantes | Recuperados  | Coincidencias
28195      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
28714      | 0.0500      | 0.5000      | 0.0625      | 2          | 20           | 1           
28717      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
28920      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
28975      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
29357      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
29401      | 0.0500      | 1.0000      | 0.1000      | 1          | 20           | 1           
29415      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
29850      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
29907      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
30052      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
30069      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
30221      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
30322      | 0.0500      | 1.0000      | 0.0833      | 1          | 20           | 1           
30409      | 0.0500      | 0.2500      | 0.2500      | 4          | 20           | 1           
30550      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
30903      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
31076      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
31295      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
31324      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
31431      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
31486      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
31760      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
31984      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
32139      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
32265      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
32299      | 0.0500      | 0.1429      | 0.0075      | 7          | 20           | 1           
32529      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
32668      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
32709      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
32739      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
32935      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
32939      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
32948      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
33044      | 0.0500      | 1.0000      | 0.0588      | 1          | 20           | 1           
